country,age,frequency,amount_mean,guests_mean,num_stores,different_services,services_type,Component 1,Component 2,Component 3,Component 4,Component 5,Segment K-means PCA,Legend
1,34,2,18.45,2.5,2,2,2,1.0895214251915804,3.6544779808998373,-0.25659860235654647,0.10039615690827584,-0.017549997596173678,2,addicted
1,23,2,6.1,1.0,1,1,1,0.30984856645247255,-0.6041662048254497,-0.7262948973531922,-0.5471780534583321,-1.453139183661615,0,occasional hang-out
1,28,1,17.8,2.0,1,1,1,-0.0007887879578793999,-0.5706644526125747,-0.1267726761213394,-0.4287502576617394,-0.8050518022984137,0,occasional hang-out
1,29,2,6.205,1.0,1,2,2,0.4232815611088595,2.101695858855183,-0.3129336130645409,-0.38869748135120585,-1.2048783169384187,2,addicted
1,39,1,11.3,1.0,1,1,2,-0.8514762040925925,0.3108370264639914,0.9239590022009649,-0.7158200408674743,-1.3666698673225846,3,well-off
1,35,4,8.125,1.0,1,2,2,0.6809986972093689,2.231474514464626,0.47914379209445324,-0.4302617620945558,-1.2378968862420896,2,addicted
1,34,1,10.5,1.0,1,1,1,0.1710176806258401,-0.5609379049519482,0.3147262743895781,-0.6629428481763069,-1.459433724058462,0,occasional hang-out
1,59,5,39.21999999999999,2.8,2,2,2,1.1610210242353773,4.15278300667865,2.769822261761003,-0.052068026822490655,0.31133477526633874,2,addicted
1,52,1,22.7,2.0,1,1,2,-0.9471966250975122,0.3874324237223369,2.3814407216736186,-0.6716691445697063,-0.8186500525698756,3,well-off
1,46,13,36.607692307692304,2.6923076923076925,1,1,2,0.17330693146838883,1.0921072639543472,3.1345894364953715,-0.3721838696990761,-0.22118153466369456,3,well-off
1,24,1,9.4,3.0,1,1,1,0.29085818824518545,-0.8783009494328307,-0.6291588326440063,-0.23858952461519523,-0.5451167871520163,0,occasional hang-out
1,36,3,17.7,3.3333333333333335,2,2,1,2.386017659318372,2.7103279305147363,-0.08263978963451535,0.22432290269923028,0.15582667713551446,2,addicted
1,27,1,8.9,3.0,1,1,1,0.3352655353568806,-0.8865064803656703,-0.347867909984344,-0.270305076315676,-0.5891697584316767,0,occasional hang-out
1,35,2,28.55,2.5,1,2,2,-0.004690249368831778,2.3105110188409466,0.655896390591294,-0.1752901979689995,-0.11345560023399595,2,addicted
1,21,1,8.1,5.0,1,1,1,0.48702384811721944,-1.1964138157051014,-0.9010715117238577,0.11320066392324012,0.28937576090533557,0,occasional hang-out
1,22,1,8.1,5.0,1,1,1,0.4971207814634282,-1.195977196639283,-0.8046135705359494,0.10287705800212218,0.2786510711920201,0,occasional hang-out
1,22,2,7.699999999999999,3.5,1,1,1,0.4917704793732939,-0.9392323317943838,-0.7487916971050548,-0.1310267001738932,-0.3628974765003874,0,occasional hang-out
1,25,1,8.6,3.0,1,1,1,0.3235415969083046,-0.8930889513754844,-0.5456335329025982,-0.25010470483571634,-0.5748477202888742,0,occasional hang-out
1,30,14,8.179285714285715,4.0,1,2,1,3.2207189931289033,1.3909620574067967,0.8528934008790963,0.19560926256484185,-0.1319864296596619,2,addicted
1,18,1,14.4,3.0,1,1,2,-0.9612809586953228,0.06860043255358389,-1.0130670903054846,-0.1716512871021986,-0.23459856559607062,3,well-off
1,18,1,9.3,3.0,1,1,1,0.23309989758254696,-0.8828237414538009,-1.2095230599522686,-0.176796835875913,-0.4831444293000661,0,occasional hang-out
1,34,21,7.53904761904762,4.476190476190476,1,2,1,4.204062787561863,1.6281549739972005,1.8755562843458644,0.2915193326732644,-0.0417129778602649,2,addicted
1,32,5,8.82,5.0,1,1,1,1.0804484407079802,-0.9966691454850756,0.5361880557648719,0.035748568589985694,0.15993896265949387,0,occasional hang-out
1,38,6,11.299999999999999,4.5,1,1,1,1.149245146314561,-0.8285274305827894,1.236553428947835,-0.09442931812907998,-0.060933434747723,0,occasional hang-out
1,22,1,10.9,3.0,1,1,1,0.228314680333561,-0.8506280231735824,-0.7978260123076351,-0.21570811096157838,-0.48803070130624326,0,occasional hang-out
1,33,1,21.4,2.0,1,1,1,-0.05194326015293255,-0.4999705627453573,0.4137139163274528,-0.4750062029200148,-0.7731471554590502,0,occasional hang-out
1,15,2,11.0,3.0,1,2,2,0.3363002453518863,1.8947727641672054,-1.5473530831908604,0.08573067901310481,-0.1076103649514826,2,addicted
1,32,6,15.666666666666666,4.666666666666667,2,2,2,1.8561620480876688,3.465473867167236,-0.08824338524111756,0.5015848216926643,0.811839922626207,2,addicted
1,15,5,30.26,4.4,1,2,1,1.3527649496700738,1.3384239761038628,-1.0496393121676926,0.3690739076615307,0.7843982978674328,2,addicted
1,22,1,8.9,3.0,1,1,1,0.284780868625837,-0.8886895756947629,-0.8301576159238855,-0.21868704671008635,-0.5355463098650993,0,occasional hang-out
1,36,4,10.525,5.25,1,1,1,0.9707463898718137,-1.0442929960866003,0.8632463891736911,0.028579359275173466,0.26884042078287934,0,occasional hang-out
1,24,1,17.3,2.0,1,1,1,-0.027059974269645237,-0.581926317006144,-0.5206873417770352,-0.38820056791439467,-0.7740319455848657,0,occasional hang-out
1,21,1,24.8,2.0,1,1,1,-0.26909898040430646,-0.440505352249173,-0.688817651779821,-0.346058741094136,-0.5636743443492089,0,occasional hang-out
1,23,1,19.3,2.0,1,1,1,-0.09362309590813,-0.5443013835507821,-0.5848136793486931,-0.37489802624476876,-0.7157916473126941,0,occasional hang-out
1,38,4,11.775,6.5,1,1,1,1.074244787331984,-1.2021706625892556,1.100417453081187,0.21151628165801242,0.7978405620059472,0,occasional hang-out
